Elmntkey,Study_Area,Area_ID,Day_of_Week,Time,Parking_Spaces,Total_Vehicle_Count
19482,Ballard,3,4,0,30,3
31853,Ballard,3,5,0.83,81,79
48450,Ballard,3,5,0.42,18,8
56654,Ballard,3,4,0.33,30,24
70397,Ballard,3,4,0.5,12,10
87286,Ballard,3,4,0.33,24,13
71290,Ballard,3,4,0.92,17,17
80657,Ballard,3,4,0.25,18,13
13046,Ballard,3,4,0,18,16
48449,Ballard,3,5,0.92,15,19
31849,Ballard,3,4,1,69,72
19421,Ballard,3,4,0.75,18,18
48449,Ballard,3,4,0.5,20,15
71574,Ballard,3,4,0,24,9
18621,Ballard,3,5,0.08,20,13
19485,Ballard,3,5,0,20,12
33950,Ballard,3,4,0.5,20,14
19494,Ballard,3,4,0.92,18,18
35486,Ballard,3,4,0,42,36
87286,Ballard,3,4,0.17,24,9
76961,Ballard,3,5,1.25,11,7
18622,Ballard,3,4,1.17,17,7
64322,Ballard,3,4,1,18,18
64317,Ballard,3,4,0.92,24,24
13046,Ballard,3,4,0.58,18,16
48770,Ballard,3,4,0.58,18,17
63630,Ballard,3,5,0.92,19,12
19482,Ballard,3,5,0.42,20,7
3338,Ballard,3,5,0.58,20,14
87285,Ballard,3,5,0.25,12,11
70397,Ballard,3,4,0.67,12,10
86369,Ballard,3,4,1.08,16,12
56649,Ballard,3,4,1.08,12,18
35353,Ballard,3,4,0.58,16,20
31854,Ballard,3,4,1.25,14,12
64318,Ballard,3,4,1.08,27,8
19485,Ballard,3,4,0.83,30,23
9142,Ballard,3,4,0.67,39,23
64318,Ballard,3,5,0.25,18,16
56653,Ballard,3,4,0.83,35,29
70997,Ballard,3,4,0.67,26,26
70397,Ballard,3,4,0.17,12,12
86450,Ballard,3,4,1.08,43,48
35681,Ballard,3,4,1,27,30
3082,Ballard,3,4,0.25,12,10
41726,Ballard,3,4,0.25,61,34
87254,Ballard,3,4,0,12,0
63630,Ballard,3,5,0.83,19,9
31850,Ballard,3,5,0.92,19,20
56653,Ballard,3,4,0.42,35,35
26501,Ballard,3,4,0.83,14,10
31850,Ballard,3,4,0.83,19,20
70998,Ballard,3,4,0.33,22,24
12689,Ballard,3,4,0.17,22,28
64318,Ballard,3,4,0.5,27,13
9142,Ballard,3,4,0.25,39,33
31854,Ballard,3,5,0.83,28,25
41726,Ballard,3,5,0.42,40,24
41725,Ballard,3,5,0.17,11,8
76961,Ballard,3,5,0.08,24,6
87281,Ballard,3,5,0,16,7
56653,Ballard,3,4,0.67,35,21
70397,Ballard,3,4,1.08,12,10
35354,Ballard,3,4,0.92,18,16
87262,Ballard,3,4,0.08,40,16
41030,Ballard,3,4,1.25,18,11
64318,Ballard,3,4,0.75,27,7
87254,Ballard,3,4,0.67,12,1
64322,Ballard,3,4,0.58,18,2
13045,Ballard,3,5,1.08,18,14
80657,Ballard,3,5,1.08,18,12
87257,Ballard,3,5,1.08,16,18
41725,Ballard,3,5,0.33,11,7
64318,Ballard,3,5,0.08,18,13
3337,Ballard,3,5,0.5,16,12
47621,Ballard,3,4,0,16,8
19494,Ballard,3,4,0.08,18,12
86369,Ballard,3,4,0.25,16,12
35353,Ballard,3,4,0.67,16,18
48449,Ballard,3,4,0.58,20,11
12689,Ballard,3,4,0.42,22,28
41721,Ballard,3,4,0.5,12,14
9142,Ballard,3,4,0.17,39,34
63622,Ballard,3,5,0.92,11,10
71574,Ballard,3,5,0.67,16,7
13045,Ballard,3,5,0.5,18,19
18622,Ballard,3,5,0.08,34,24
31846,Ballard,3,4,0,12,8
87261,Ballard,3,4,0.17,34,10
19422,Ballard,3,4,0.67,14,14
31849,Ballard,3,4,0.33,46,32
64321,Ballard,3,5,0.33,12,10
64322,Ballard,3,5,0.08,12,4
31850,Ballard,3,5,0.75,19,21
71002,Ballard,3,4,0.92,48,42
12689,Ballard,3,4,0.67,22,24
71574,Ballard,3,5,0.25,16,6
31850,Ballard,3,5,0.33,19,15
87257,Ballard,3,4,0.5,24,27
86369,Ballard,3,4,0.5,16,14
56649,Ballard,3,4,0.67,12,16
86370,Ballard,3,4,0.33,16,20
87281,Ballard,3,4,1.08,24,24
87257,Ballard,3,4,0.08,24,14
71002,Ballard,3,5,1.17,18,12
64321,Ballard,3,4,0.92,18,24
35681,Ballard,3,5,0.75,29,19
64322,Ballard,3,5,0.58,12,9
76961,Ballard,3,5,1,24,26
48449,Ballard,3,5,0.5,15,10
76961,Ballard,3,5,0.33,24,19
71002,Ballard,3,4,0.42,48,34
26502,Ballard,3,4,0.33,12,8
41029,Ballard,3,4,0.42,24,20
70997,Ballard,3,4,0.33,26,20
56653,Ballard,3,4,1.17,11,3
3082,Ballard,3,4,0.5,12,8
9142,Ballard,3,4,0,39,4
56653,Ballard,3,5,1.17,11,6
13045,Ballard,3,5,1,18,16
31853,Ballard,3,5,0.5,81,59
86449,Ballard,3,5,0,27,17
86369,Ballard,3,4,0.83,16,12
26501,Ballard,3,4,0.08,14,12
71001,Ballard,3,4,0.58,18,24
87262,Ballard,3,4,0.17,40,24
70997,Ballard,3,5,0,13,10
70997,Ballard,3,5,1,13,13
71002,Ballard,3,5,0.75,18,18
87254,Ballard,3,4,0.42,12,2
3341,Ballard,3,4,0.25,15,8
64317,Ballard,3,5,1.08,16,16
80657,Ballard,3,5,0.08,18,6
86450,Ballard,3,5,0,32,15
3338,Ballard,3,5,0.08,20,6
26502,Ballard,3,4,0.17,12,6
70397,Ballard,3,4,0.25,12,12
56654,Ballard,3,4,0.17,30,24
76961,Ballard,3,4,0.25,26,16
13045,Ballard,3,4,1.08,27,16
9141,Ballard,3,4,0,47,25
18621,Ballard,3,5,1.17,11,3
86450,Ballard,3,5,1.17,17,12
87285,Ballard,3,5,0.83,12,12
3337,Ballard,3,4,0.17,24,4
3337,Ballard,3,4,0.33,24,16
9114,Ballard,3,4,0,12,1
86449,Ballard,3,4,1.17,13,7
9142,Ballard,3,5,0.25,26,22
48450,Ballard,3,5,0.75,18,12
3337,Ballard,3,4,0.58,24,17
71001,Ballard,3,4,1,18,22
33949,Ballard,3,4,1,32,32
18622,Ballard,3,4,0.58,51,34
41030,Ballard,3,4,0.5,56,31
31854,Ballard,3,4,0.5,28,19
31853,Ballard,3,4,0.5,117,88
35681,Ballard,3,5,0.83,29,25
18618,Ballard,3,5,0.42,27,18
87257,Ballard,3,5,0,16,12
87281,Ballard,3,5,0.42,16,8
19422,Ballard,3,4,0.25,14,14
56650,Ballard,3,4,0.75,12,14
33950,Ballard,3,4,0,20,16
35353,Ballard,3,4,0.42,16,20
19482,Ballard,3,4,0.92,30,19
18622,Ballard,3,4,0.17,51,30
9142,Ballard,3,5,0.75,26,18
